,time,temp_air,ghi,wind_meridional,wind_zonal,wind_speed,precipitation,latitude,longitude,nuts_id,profil
0,2025-01-01 01:00:00,277.8397521972656,0.0,5.011289596557617,5.004191875457764,7.082140922546387,,50.845454545454544,6.454545454545454,DEA26,0.0
1,2025-01-01 02:00:00,277.79718017578125,0.0,5.022840976715088,5.182940483093262,7.217877388000488,,50.845454545454544,6.454545454545454,DEA26,0.0
2,2025-01-01 03:00:00,277.6352233886719,0.0,5.0095295906066895,5.168218612670898,7.198309421539307,,50.845454545454544,6.454545454545454,DEA26,0.0
3,2025-01-01 04:00:00,277.5104675292969,0.0,5.181331157684326,5.064837455749512,7.246615886688232,,50.845454545454544,6.454545454545454,DEA26,0.0
4,2025-01-01 05:00:00,277.43280029296875,0.0,5.148926734924316,4.963374614715576,7.153312683105469,,50.845454545454544,6.454545454545454,DEA26,0.0
5,2025-01-01 06:00:00,277.3138122558594,0.0,5.185507297515869,4.828291416168213,7.086254596710205,,50.845454545454544,6.454545454545454,DEA26,0.0
6,2025-01-01 07:00:00,277.0542297363281,0.0,5.738170146942139,4.722579956054688,7.432143688201904,,50.845454545454544,6.454545454545454,DEA26,0.0
7,2025-01-01 08:00:00,276.69757080078125,4444.72705078125,5.802844047546387,4.5940937995910645,7.402827262878418,,50.845454545454544,6.454545454545454,DEA26,0.0017335228628094681
8,2025-01-01 09:00:00,276.8012390136719,74012.90625,6.010152816772461,4.767411708831787,7.671875476837158,,50.845454545454544,6.454545454545454,DEA26,0.028866354145368037
9,2025-01-01 10:00:00,277.17657470703125,177009.640625,6.147433280944824,4.426408290863037,7.57606315612793,,50.845454545454544,6.454545454545454,DEA26,0.06903691845536163
10,2025-01-01 11:00:00,277.6389465332031,271498.1875,6.575727939605713,4.981199741363525,8.250590324401855,,50.845454545454544,6.454545454545454,DEA26,0.105889137817778
11,2025-01-01 12:00:00,277.8645935058594,386787.09375,6.183883190155029,4.551445484161377,7.679836750030518,,50.845454545454544,6.454545454545454,DEA26,0.15085386850411872
12,2025-01-01 13:00:00,278.157470703125,273540.90625,6.804393291473389,5.877147197723389,8.992897987365723,,50.845454545454544,6.454545454545454,DEA26,0.10668583458114668
13,2025-01-01 14:00:00,278.8586120605469,216536.90625,6.720036029815674,6.727419853210449,9.509310722351074,,50.845454545454544,6.454545454545454,DEA26,0.08445325738515852
14,2025-01-01 15:00:00,279.3729248046875,105559.6328125,6.5059123039245605,6.378754138946533,9.111350059509276,,50.845454545454544,6.454545454545454,DEA26,0.041170140433725196
15,2025-01-01 16:00:00,279.6640014648437,11202.9091796875,6.598312377929688,6.207543849945068,9.05945873260498,,50.845454545454544,6.454545454545454,DEA26,0.00436933448805429
16,2025-01-01 17:00:00,279.9867248535156,0.0,6.725863456726074,6.237074375152588,9.173078536987305,,50.845454545454544,6.454545454545454,DEA26,0.0
17,2025-01-01 18:00:00,280.3415222167969,0.0,6.907958984375,6.285896301269531,9.34042263031006,,50.845454545454544,6.454545454545454,DEA26,0.0
18,2025-01-01 19:00:00,279.9564819335937,0.0,7.08368730545044,6.255504131317139,9.451737403869627,,50.845454545454544,6.454545454545454,DEA26,0.0
19,2025-01-01 20:00:00,280.0058288574219,0.0,6.823034286499023,6.509004592895508,9.43471622467041,,50.845454545454544,6.454545454545454,DEA26,0.0
20,2025-01-01 21:00:00,279.8516845703125,0.0,6.098100185394287,6.755878925323486,9.11277961730957,,50.845454545454544,6.454545454545454,DEA26,0.0
21,2025-01-01 22:00:00,279.937744140625,0.0,4.537449359893799,6.597805500030518,8.04628849029541,,50.845454545454544,6.454545454545454,DEA26,0.0
22,2025-01-01 23:00:00,279.7388916015625,0.0,2.101491689682007,5.789515495300293,6.312019348144531,,50.845454545454544,6.454545454545454,DEA26,0.0
23,2025-01-02 00:00:00,278.9043273925781,0.0,-0.3779851794242859,4.567994594573975,4.701823711395264,,50.845454545454544,6.454545454545454,DEA26,0.0
24,2025-01-02 01:00:00,277.3270568847656,0.0,-1.2769650220870972,3.932775259017944,4.140545845031738,,50.845454545454544,6.454545454545454,DEA26,0.0
25,2025-01-02 02:00:00,275.6201477050781,0.0,-0.3433907330036163,2.9722776412963867,3.065330743789673,,50.845454545454544,6.454545454545454,DEA26,0.0
26,2025-01-02 03:00:00,274.76300048828125,0.0,0.7408225536346436,2.6616461277008057,2.78468918800354,,50.845454545454544,6.454545454545454,DEA26,0.0
27,2025-01-02 04:00:00,274.60821533203125,0.0,1.1058446168899536,2.756723642349243,2.973018884658813,,50.845454545454544,6.454545454545454,DEA26,0.0
28,2025-01-02 05:00:00,274.6304626464844,0.0,1.1817474365234375,3.2026076316833496,3.4141669273376465,,50.845454545454544,6.454545454545454,DEA26,0.0
29,2025-01-02 06:00:00,274.63641357421875,0.0,0.8880518078804016,3.2440602779388428,3.365206241607666,,50.845454545454544,6.454545454545454,DEA26,0.0
30,2025-01-02 07:00:00,274.9747009277344,0.0,0.5966686010360718,2.636990547180176,2.7048261165618896,,50.845454545454544,6.454545454545454,DEA26,0.0
31,2025-01-02 08:00:00,275.1190185546875,1568.54541015625,0.4562669098377228,2.5682053565979004,2.609567403793335,,50.845454545454544,6.454545454545454,DEA26,0.0006117606995423434
32,2025-01-02 09:00:00,275.4514465332031,53191.81640625,0.3222808837890625,3.156046152114868,3.1754279136657715,,50.845454545454544,6.454545454545454,DEA26,0.020745757568710662
33,2025-01-02 10:00:00,275.96978759765625,136695.265625,-0.0600724667310714,2.795496225357056,2.7998335361480717,,50.845454545454544,6.454545454545454,DEA26,0.05331359282390567
34,2025-01-02 11:00:00,276.49609375,322922.71875,-0.5513444542884827,2.5991334915161133,2.666158437728882,,50.845454545454544,6.454545454545454,DEA26,0.12594562263959982
35,2025-01-02 12:00:00,277.1687316894531,501797.09375,-0.567786455154419,2.464399814605713,2.539937734603882,,50.845454545454544,6.454545454545454,DEA26,0.19570982077607504
36,2025-01-02 13:00:00,277.40283203125,524172.90625,-0.6049097180366516,2.5284299850463867,2.6037964820861816,,50.845454545454544,6.454545454545454,DEA26,0.2044367869315941
37,2025-01-02 14:00:00,276.8479919433594,412003.28125,-0.3585357666015625,2.3260927200317383,2.357089042663574,,50.845454545454544,6.454545454545454,DEA26,0.160688631594117
38,2025-01-02 15:00:00,276.093017578125,179396.1875,-0.3866651654243469,2.3802642822265625,2.4233226776123047,,50.845454545454544,6.454545454545454,DEA26,0.06996771432284955
39,2025-01-02 16:00:00,275.0119323730469,24310.181640625,-0.9645567536354064,2.746512651443481,2.912278652191162,,50.845454545454544,6.454545454545454,DEA26,0.009481404637809441
40,2025-01-02 17:00:00,274.5829772949219,0.0,-0.6803802251815796,2.5561883449554443,2.64570426940918,,50.845454545454544,6.454545454545454,DEA26,0.0
41,2025-01-02 18:00:00,274.0623779296875,0.0,-0.3045167028903961,2.68133544921875,2.6992180347442627,,50.845454545454544,6.454545454545454,DEA26,0.0
42,2025-01-02 19:00:00,274.0615234375,0.0,-0.1013585850596427,2.848646640777588,2.851292133331299,,50.845454545454544,6.454545454545454,DEA26,0.0
43,2025-01-02 20:00:00,273.81610107421875,0.0,0.2268052548170089,3.0220351219177246,3.0313146114349365,,50.845454545454544,6.454545454545454,DEA26,0.0
44,2025-01-02 21:00:00,273.6758728027344,0.0,0.3851998150348663,3.247507333755493,3.271026372909546,,50.845454545454544,6.454545454545454,DEA26,0.0
45,2025-01-02 22:00:00,273.42169189453125,0.0,0.4965015649795532,3.437863349914551,3.474138021469116,,50.845454545454544,6.454545454545454,DEA26,0.0
46,2025-01-02 23:00:00,273.4644775390625,0.0,0.5611862540245056,3.568030595779419,3.613013982772827,,50.845454545454544,6.454545454545454,DEA26,0.0
47,2025-01-03 00:00:00,273.50762939453125,0.0,0.6616169214248657,3.711912631988525,3.772015333175659,,50.845454545454544,6.454545454545454,DEA26,0.0
48,2025-01-03 01:00:00,273.5912780761719,0.0,0.612640380859375,3.931220293045044,3.979538917541504,,50.845454545454544,6.454545454545454,DEA26,0.0
49,2025-01-03 02:00:00,273.4532470703125,0.0,0.5764715075492859,4.008981704711914,4.051412582397461,,50.845454545454544,6.454545454545454,DEA26,0.0
50,2025-01-03 03:00:00,273.3949890136719,0.0,0.6968605518341064,4.066473007202148,4.126936435699463,,50.845454545454544,6.454545454545454,DEA26,0.0
51,2025-01-03 04:00:00,273.3389892578125,0.0,0.8057140111923218,4.208684921264648,4.285976409912109,,50.845454545454544,6.454545454545454,DEA26,0.0
52,2025-01-03 05:00:00,273.25958251953125,0.0,0.8538957238197327,4.30512285232544,4.390003204345703,,50.845454545454544,6.454545454545454,DEA26,0.0
53,2025-01-03 06:00:00,272.952880859375,0.0,1.0321766138076782,4.3049635887146,4.428520679473877,,50.845454545454544,6.454545454545454,DEA26,0.0
54,2025-01-03 07:00:00,272.8103332519531,0.0,1.1987498998641968,4.371484756469727,4.533229351043701,,50.845454545454544,6.454545454545454,DEA26,0.0
55,2025-01-03 08:00:00,272.7121276855469,5051.0908203125,1.073615312576294,4.539241313934326,4.664807796478272,,50.845454545454544,6.454545454545454,DEA26,0.0019700155530584665
56,2025-01-03 09:00:00,273.19805908203125,106518.1796875,0.9914342761039734,5.045565605163574,5.142929553985596,,50.845454545454544,6.454545454545454,DEA26,0.041543990819564974
57,2025-01-03 10:00:00,273.7335205078125,224599.265625,0.9194225072860718,5.8000168800354,5.873957633972168,,50.845454545454544,6.454545454545454,DEA26,0.08759772140849874
58,2025-01-03 11:00:00,274.0614929199219,440536.53125,0.7687891125679016,6.177897930145264,6.22903299331665,,50.845454545454544,6.454545454545454,DEA26,0.1718171082497452
59,2025-01-03 12:00:00,274.4489440917969,566456.9375,0.5481969714164734,6.287103652954102,6.314567565917969,,50.845454545454544,6.454545454545454,DEA26,0.22092831364767015
60,2025-01-03 13:00:00,274.7032470703125,559331.8125,0.3742966949939728,6.506063461303711,6.522377014160156,,50.845454545454544,6.454545454545454,DEA26,0.21814938775486326
61,2025-01-03 14:00:00,274.6795654296875,398150.0,1.0683913230895996,5.306474208831787,5.42146110534668,,50.845454545454544,6.454545454545454,DEA26,0.15528560470462924
62,2025-01-03 15:00:00,274.4516296386719,171002.734375,1.346704602241516,5.274397373199463,5.4438581466674805,,50.845454545454544,6.454545454545454,DEA26,0.06669411782887597
63,2025-01-03 16:00:00,274.08013916015625,23741.63671875,1.3328427076339722,5.008998394012451,5.186487197875977,,50.845454545454544,6.454545454545454,DEA26,0.00925966197299692
64,2025-01-03 17:00:00,273.9416198730469,0.0,1.2624664306640625,4.764657974243164,4.934896945953369,,50.845454545454544,6.454545454545454,DEA26,0.0
65,2025-01-03 18:00:00,273.6598815917969,0.0,1.1488189697265625,4.483921527862549,4.633380889892578,,50.845454545454544,6.454545454545454,DEA26,0.0
66,2025-01-03 19:00:00,273.9978332519531,0.0,0.659423828125,4.51129961013794,4.560746192932129,,50.845454545454544,6.454545454545454,DEA26,0.0
