time,el_price_eur_kwh,heat_demand_kw,PV_kw,COP,gas_price,solar_q_Wm2,cop_wshp,profil,solar_profil,cop_s_3
2025-07-23 21:00:00,0.11054,0.16,51.4,3.103006347656251,0.1199,0.0,3.67237727230639,0.0,0.0,3.645882395469079
2025-07-23 22:00:00,0.10306,0.16,10.3,3.071860107421876,0.1199,0.0,3.67129777830549,0.0,0.0,3.645882395469079
2025-07-23 23:00:00,0.0978199999999999,0.44,1.13,3.044933837890626,0.1199,0.0,3.67026294142341,0.0,0.0,3.645882395469079
2025-07-24 00:00:00,0.09408,0.44,0.0,3.014635986328126,0.1199,0.0,3.6692708907854006,0.0,0.0,3.645882395469079
2025-07-24 01:00:00,0.08929,0.44,0.0,2.9999155273437488,0.1199,0.0,3.668319835783119,0.0,0.0,3.645882395469079
2025-07-24 02:00:00,0.08929,2.54,0.0,2.973877929687501,0.1199,0.0,3.667408062479751,0.0,0.0,3.645882395469079
2025-07-24 03:00:00,0.09345,2.54,0.0,2.9570761718750007,0.1199,0.0,3.666533930188056,0.0,0.0,3.645882395469079
2025-07-24 04:00:00,0.10265,2.54,0.0,2.942151855468751,0.1199,0.0,3.66569640609452,0.0001345206990308,0.0001345206990308,3.646111427647688
2025-07-24 05:00:00,0.11205,3.46,0.0,2.973202880859376,0.1199,0.0,3.66504923081525,0.0391156330755022,0.0391156330755022,3.7137146650335002
2025-07-24 06:00:00,0.11722,3.46,0.0,3.055704101562501,0.1199,0.0,3.664800559223021,0.1321736103981097,0.1321736103981097,3.885706127674416
2025-07-24 07:00:00,0.1104,3.46,0.0,3.097625488281251,0.1199,0.003221385631751,3.664889834958165,0.2141890003072365,0.2141890003072365,4.0510577803678105
2025-07-24 08:00:00,0.09622,0.85,2.03,3.124299072265626,0.1199,0.0462576730053438,3.6651051119613935,0.2466229573668569,0.2466229573668569,4.120397533292937
2025-07-24 09:00:00,0.08917,0.85,9.1,3.168677734375001,0.1199,0.2491660938421055,3.665982408763197,0.4143856716804435,0.4143856716804435,4.520625962020305
