time,el_price_eur_kwh,heat_demand_kw,PV_kw,COP,gas_price,solar_q_Wm2,cop_wshp,profil,solar_profil,cop_s_3
2025-01-01 00:00:00,0.00216,344.27,0.0,2.561385131835939,0.1199,0.0,3.646111111111111,,0.0,3.645882395469079
2025-01-01 01:00:00,0.0016,373.27,0.0,2.561385131835939,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 02:00:00,0.0,373.27,0.0,2.558830810546876,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 03:00:00,-1e-05,373.27,0.0,2.5491134033203138,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 04:00:00,-1e-05,370.27,0.0,2.541628051757814,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 05:00:00,-6e-05,370.27,0.0,2.5369680175781264,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 06:00:00,-8.999999999999999e-05,370.27,0.0,2.529828735351564,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 07:00:00,-1e-05,385.27,0.0,2.514253784179689,0.1199,0.0,3.646111111111111,0.0,0.0,3.645882395469079
2025-01-01 08:00:00,-1e-05,385.27,0.0,2.4928542480468763,0.1199,0.0,3.646117968762662,0.0017335228628094,0.0017335228628094,3.6466203635659458
2025-01-01 09:00:00,-4e-05,385.27,0.0,2.499074340820314,0.1199,0.0,3.646231885183,0.028866354145368,0.028866354145368,3.658209981055339
2025-01-01 10:00:00,-3e-05,361.51,0.0,2.521594482421877,0.1199,0.0,3.646500096255315,0.0690369184553616,0.0690369184553616,3.6755044936149472
2025-01-01 11:00:00,-0.0001,361.51,0.0,2.549336791992189,0.1199,0.0,3.646903238133304,0.105889137817778,0.105889137817778,3.69151481413055
2025-01-01 12:00:00,-5e-05,361.51,0.0,2.562875610351564,0.1199,0.0,3.647468008599168,0.1508538685041187,0.1508538685041187,3.711239513862169
2025-01-01 13:00:00,-0.0001,374.26,0.0,2.580448242187501,0.1199,0.0,3.647834993737999,0.1066858345811466,0.1066858345811466,3.6918624767423363
2025-01-01 14:00:00,-0.00101,374.26,0.0,2.622516723632814,0.1199,0.0,3.6480990214367,0.0844532573851585,0.0844532573851585,3.682185142299526
2025-01-01 15:00:00,-1e-05,374.26,0.0,2.6533754882812515,0.1199,0.0,3.6481808823322814,0.0411701404337251,0.0411701404337251,3.663489777733272
2025-01-01 16:00:00,-1e-05,342.27,0.0,2.670840087890623,0.1199,0.0,3.648113659424808,0.0043693344880542,0.0043693344880542,3.6477430124814725
2025-01-01 17:00:00,7.000000000000001e-05,342.27,0.0,2.690203491210939,0.1199,0.0,3.648031879700127,0.0,0.0,3.645882395469079
2025-01-01 18:00:00,0.00101,342.27,0.0,2.70638407389323,0.1199,0.0,3.647953441368408,0.0,0.0,3.645882395469079
2025-01-01 19:00:00,0.00148,286.28,0.0,2.688388916015623,0.1199,0.0,3.6478782077705625,0.0,0.0,3.645882395469079
2025-01-01 20:00:00,0.001,286.28,0.0,2.691349731445314,0.1199,0.0,3.647806047847512,0.0,0.0,3.645882395469079
2025-01-01 21:00:00,7.000000000000001e-05,286.28,0.0,2.6821010742187514,0.1199,0.0,3.6477368359098254,0.0,0.0,3.645882395469079
2025-01-01 22:00:00,0.01005,325.29,0.0,2.6872646484375013,0.1199,0.0,3.64767045141693,0.0,0.0,3.645882395469079
2025-01-01 23:00:00,0.00701,325.29,0.0,2.675333496093752,0.1199,0.0,3.647606778765449,0.0,0.0,3.645882395469079
2025-01-02 00:00:00,0.0025499999999999,325.29,0.0,2.625259643554689,0.1199,0.0,3.647545707086328,0.0,0.0,3.645882395469079
2025-01-02 01:00:00,0.00156,385.28,0.0,2.530623413085939,0.1199,0.0,3.647487130050302,0.0,0.0,3.645882395469079
2025-01-02 02:00:00,0.00345,385.28,0.0,2.4282088623046887,0.1199,0.0,3.647430945681474,0.0,0.0,3.645882395469079
2025-01-02 03:00:00,0.0070199999999999,385.28,0.0,2.3871000162760425,0.1199,0.0,3.6473770561785175,0.0,0.0,3.645882395469079
