,el_price_eur_kwh,heat_demand_kw,pv_power_kw,cop_t
0,0.00216,344.27,0.0,3.406254150390628
1,0.0016,373.27,0.0,3.412948486328128
2,0.0,373.27,0.0,3.4141899414062524
3,-1e-05,373.27,0.0,3.4169914550781275
4,-1e-05,370.27,0.0,3.4103483886718777
5,-6e-05,370.27,0.0,3.412054931640628
6,-8.999999999999999e-05,370.27,0.0,3.4040898437500027
7,-1e-05,385.27,0.0,3.373763916015628
8,-1e-05,385.27,0.0,3.402152587890628
9,-4e-05,385.27,0.12993028606878537,3.3876030273437525
10,-3e-05,361.51,0.18767424613418687,3.4445268554687525
11,-0.0001,361.51,1.444314924307675,3.4636247558593776
12,-5e-05,361.51,1.38078927147844,3.4660637207031275
13,-0.0001,374.26,1.850709807827501,3.4638334960937525
14,-0.00101,374.26,1.384989503008116,3.439271728515628
15,-1e-05,374.26,1.803421148492459,3.396556884765628
16,-1e-05,342.27,0.0,3.376993896484377
17,7.000000000000001e-05,342.27,0.0,3.367838623046877
18,0.00101,342.27,0.0,3.371801025390628
19,0.00148,286.28,0.0,3.3592985839843776
20,0.001,286.28,0.0,3.3476860351562525
21,7.000000000000001e-05,286.28,0.0,3.380465576171878
22,0.01005,325.29,0.0,3.3943376464843777
23,0.00701,325.29,0.0,3.398409912109378
24,0.0025499999999999,325.29,0.0,3.354102050781246
25,0.00156,385.28,0.0,3.3086040039062525
26,0.00345,385.28,0.0,3.3834172363281274
27,0.0070199999999999,385.28,0.0,3.528671142578128
28,0.01275,442.29,0.0,3.628723632812503
29,0.03007,442.29,0.0,3.7035222167968778
30,0.06713,442.29,0.0,3.8068229980468775
31,0.09883,497.25,0.0,3.8473991699218777
32,0.12153,497.25,0.0,3.8503398437500023
33,0.12723,497.25,0.0730543113838686,3.831205322265628
34,0.12635,482.27,0.09086541512360528,3.7899370117187527
35,0.11997,482.27,0.18629193744569184,3.7391435546875034
36,0.11595,482.27,0.14127601447425947,3.705294677734378
37,0.1139,433.65,0.052582341136373445,3.736678955078128
38,0.12221,433.65,0.02541211582933369,3.7637565917968776
39,0.13011,433.65,0.0,3.778547851562503
40,0.13859,427.28,0.0,3.784707519531246
41,0.15287,427.28,0.0,3.771282226562503
42,0.15294,427.28,0.0,3.844315673828128
43,0.13915,428.24,0.0,3.895160400390628
44,0.13,428.24,0.0,3.870031005859378
45,0.11978,428.24,0.0,3.823247558593753
46,0.11342,446.25,0.0,3.7954997558593777
47,0.08247,446.25,0.0,3.710524169921878
48,0.09956,446.25,0.0,3.697582275390628
49,0.08753,454.27,0.0,3.681659423828128
50,0.08501,454.27,0.0,3.6434929199218775
51,0.08379,454.27,0.0,3.6458256835937526
52,0.0775,450.26,0.0,3.648096191406253
53,0.0798799999999999,450.26,0.0,3.623607666015628
54,0.08356,450.26,0.0,3.613833496093753
55,0.07843,518.23,0.0,3.6109001464843775
56,0.0825699999999999,518.23,0.0,3.6010930175781275
57,0.08076,518.23,0.20758753854031928,3.654460937500003
58,0.07764,505.0,0.8819060565709541,3.717906982421878
59,0.07048,505.0,1.3737482176292461,3.738671142578128
60,0.06994,505.0,1.123939536367042,3.7253630371093776
61,0.0778,473.35,0.4647026438615559,3.744742919921878
62,0.07881,473.35,0.8474727968156694,3.711381103515628
63,0.08529,473.35,1.0274194041746225,3.647162353515628
