scenario,capex_hp_eur,opex_hp_eur_per_a,opex_sys_eur_per_a,spf_hp,spf_system,lcoh_hp_eur_per_kwh,lcoh_system_eur_per_kwh
ASHP,665446.0,98163.72867841415,78521.62119317743,2.87177773089206,2.481547930096611,0.09851582110972731,0.07850963016498286
GSHP,1003460.2,63749.83336606429,46729.780674430775,4.122728988024426,2.781879885503667,0.09521086801069198,0.07118668937386845
SA-WSHP,822110.5,19957.509521733737,114679.23503521064,5.105124058141953,1.2436693226485278,0.1378705446765367,0.1086302915420763
