scenario,capex_hp_eur,opex_hp_eur_per_a,opex_sys_eur_per_a,spf_hp,spf_system,lcoh_hp_eur_per_kwh,lcoh_system_eur_per_kwh
ASHP,155000.0,30755.440065528546,125535.02767836335,3.427655262788981,1.209629991237808,0.07633294532934504,0.08891202719040728
GSHP,277000.0,22281.650153412676,115715.43457187568,4.7385421309933315,1.2528198098726215,0.07429649223646832,0.08735888333792265
SA-WSHP,822110.5,19957.50952175374,114679.23503523126,5.105124058136837,1.243669322648425,0.13787054467657595,0.10863029154208986
