scenario,capex_hp_eur,opex_hp_eur_per_a,opex_sys_eur_per_a,spf_hp,spf_system,lcoh_hp_eur_per_kwh,lcoh_system_eur_per_kwh
ASHP,155000.0,30755.440065528546,125535.02767836335,3.427655262788981,1.209629991237808,0.07633294532934504,0.08891202719040728
GSHP,277000.0,22281.650153412676,115715.43457187568,4.7385421309933315,1.2528198098726215,0.07429649223646832,0.08735888333792265
SA-WSHP,101000.0,968.8862412644365,148037.2638577763,4.448005548599886,0.9533909222184122,0.07993102333927687,0.10155580295764625
